ETF Name,Code,Quote,Trailing Return,Growth 10000,Risk,Asset Allocations,Sectors,StockStyle,Sustainability,Holdings
ARIRANG_KTB_3Y_Futures_ETF,298340,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
ARIRANG_Leading_Industry_ETF,280920,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_MidCap_LowVol50,266550,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_NASDAQ_Technology_Sector,287180,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_S&P500_ETF,269540,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_S&P_Global_Infra_Equity,269530,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_Short-Term_Bond,190160,20190814,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
ARIRANG_Short-Term_Credit,263190,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
ARIRANG_Smartbeta_LowVOL,236460,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
ARIRANG_Smartbeta_Momentum,222190,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
ARIRANG_Smartbeta_Quality,222200,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
ARIRANG_Smartbeta_Quality_Balanced,238670,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
ARIRANG_Smartbeta_Value,222180,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
ARIRANG_Synth-AC_World(H),189400,20190816,20190814,20190814,20190731,20190731,20190731,20190731,NA,20190731
ARIRANG_Synth-EAFE(H),195970,20190816,20190814,20190814,20190731,20190731,20190731,20190731,NA,20190731
ARIRANG_Synth-EM(H),195980,20190816,20190814,20190814,20190731,20190731,20190731,20190731,NA,20190731
ARIRANG_Synth-US_High_Dividend(H),213630,20190816,20190814,20190814,20190731,20190630,20190630,20190630,NA,20190630
FOCUS_ESG_Leaders_150,285690,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
FOCUS_KRX300_ETF,292730,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
HANARO_200_ETF,293180,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
HANARO_200_Futures_Inverse,306520,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
HANARO_200_Futures_Leverage,304780,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
HANARO_Agriculture_Business,314700,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
HANARO_e-Commerce,322400,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
HANARO_High_Dividend,322410,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
HANARO_KOSDAQ150,304770,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
HANARO_KOSDAQ150_Futures_Leverage,306530,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
HANARO_KRX300,304760,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
HANARO_Short-term_MSB,306540,20190809,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
Heungkuk_S&P_Korea_Low_Volatility,215620,20190814,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
KBSTAR_200,148020,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
KBSTAR_200IT,285000,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
KBSTAR_200_Communication_Service,315480,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
KBSTAR_200_Constructions,287300,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
KBSTAR_200_Consumer_Discretionary,287310,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
KBSTAR_200_Consumer_Staples,287330,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
KBSTAR_200_Ene_&_Che,284990,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
KBSTAR_200_Financials,284980,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
KBSTAR_200_Futures_Inverse,252410,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
KBSTAR_200_Futures_Inverse_2X,252420,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
